filename ,PMID ,NumberOfAuthors,Authors,ackStmt
Bioinformatics_2010_Jan_15_26(2)_175-181.nxml,19910305,4," Fenix W. D. Huang , Jing Qin , Christian M. Reidys , Peter F. Stadler , ","<ack><title>ACKNOWLEDGEMENTS</title><p>We want to thank Sven Findeiß for discussions. We are grateful to Sharon Selzo of the Modular and BICoC Benchmark Center, IBM and Kathy Tzeng of IBM Life Sciences Solutions Enablement. Their great support was vital for all computations presented here.</p><p><italic>Funding</italic>: 973 Project of the Ministry of Science and Technology; PCSIRT Project of the Ministry of Education; National Science Foundation of China (to C.M.R. and his lab); Deutsche Forschungsgemeinschaft under the auspices of SPP-1258 ‘Small Regulatory RNAs in Prokaryotes’ (grant No. STA 850/7-1to P.F.S. and his lab); European Community FP-6 project SYNLET (Contract Number 043312 to P.F.S. and his lab).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2010_Sep_15_26(18)_i618-i624.nxml,20823330,5," Rosario M. Piro , Ivan Molineris , Ugo Ala , Paolo Provero , Ferdinando Di Cunto , ","<ack><title>ACKNOWLEDGEMENTS</title><p>We would like to thank Han Brunner and Martin Oti of the Nijmegen Centre for Molecular Life Sciences, The Netherlands, for providing us with software and precious help regarding MimMiner (van Driel <italic>et al.</italic>, <xref ref-type=""bibr"" rid=""B39"">2006</xref>).</p><p><italic>Funding</italic>: Italian Association for Cancer Research (to P.P.); Regione Piemonte (to P.P., F.D.C.); FIRB-Italbionet program of the Italian Ministry of Education, University and Research; Fondazione San Paolo (to F.D.C.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2010_Sep_1_26(17)_2153-2159.nxml,20651112,6," David M.A. Martin , Isabelle R.E. Nett , Franck Vandermoere , Jonathan D. Barber , Nicholas A. Morrice , Michael A.J. Ferguson , ","<ack><title>ACKNOWLEDGEMENTS</title><p>D.M.A.M. conceived the automated analysis system, designed and implemented the analysis framework and curation system. I.R.E.N. provided the experimental dataset and performed the manual curation of phosphopeptides. J.D.B. conceived and constructed the MLRV database. N.A.M. provided guidance on construction of the analytical rules and critical assessment of the software. M.A.J.F. provided guidance for the project and direction in the definition of the criteria used for assessment. F.V. performed the SEQUEST and Peptide Prophet analyses, and provided useful insight into these methods. This report was prepared by D.M.A.M. and refined in collaboration with the other authors. We would like to thank Dougie Lamont and Dr David Campbell for their insights into spectral interpretation, and Dr Tom Walsh for expert systems support.</p><p><italic>Funding</italic>: Wellcome Trust (programme grant 085622 to M.A.J.F.; PhD studentship to I.R.E.N.); the Medical Research Council (to N.A.M. and F.V.) and the Biotechnology and Biology research Council IRColl RASOR project (to N.A.M. and F.V.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2011_Feb_1_27(3)_291-294.nxml,21282182,0, ,none
Bioinformatics_2011_Jul_1_27(13)_i102-i110.nxml,21685058,2," Zhiyong Wang , Jinbo Xu , ","<ack><title>ACKNOWLEDGEMENTS</title><p>The authors are grateful to the open science grid and to TeraGrid for the computational resources.</p><p><italic>Funding</italic>: <funding_source>National Institutes of Health</funding_source> (grant <award_id>R01GM089753</award_id>, to J.X.); <funding_source>National Science Foundation</funding_source> (grant <award_id>DBI-0960390</award_id>, to J.X.); <funding_source>Open Science Grid and TeraGrid</funding_source> (grants <award_id>TG-MCB100062</award_id> and <award_id>TGCCR100005</award_id>, to J.X.).</p><p><italic>Conflict of Interest</italic>: none declared.</p></ack>"
Bioinformatics_2011_Oct_1_27(19)_2769-2771.nxml,21813477,9," J�rg Hakenberg , Martin Gerner , Maximilian Haeussler , Ill�s Solt , Conrad Plake , Michael Schroeder , Graciela Gonzalez , Goran Nenadic , Casey M. Bergman , ",none
BMC_Bioinformatics_2000_Jul_27_1_1.nxml,11001586,2," Jeremy S Edwards , Bernhard O Palsson , ",none
BMC_Bioinformatics_2001_Aug_1_2_5.nxml,11545673,5," Susana Cristobal , Adam Zemla , Daniel Fischer , Leszek Rychlewski , Arne Elofsson , ","<ack><sec><title>Acknowledgment</title><p>This work was supported by grants form the Swedish Natural Sciences Research Council, Swedish Research Council for Engineering Sciences and the Swedish foundation for strategic research.</p></sec></ack>"
BMC_Bioinformatics_2001_Jul_27_2_4.nxml,11504559,2," Colin W Ward , Thomas PJ Garrett , ",none
BMC_Bioinformatics_2001_Jun_22_2_2.nxml,11472630,4," Janusz M Bujnicki , Marcin Feder , Monika Radlinska , Leszek Rychlewski , ",<ack><sec><title>Acknowledgements</title><p>We would like to thank Frank King for critical reading of the manuscript. This work was supported by KBN (grant 8T11F01019 to J.M.B.) and BioInfoBank. Coordinates of the model have been deposited in the Protein Data Bank with entry code 1IC3.</p></sec></ack>
PLoS_Comput_Biol_2005_Aug_12_1(3)_e25.nxml,16110342,5," Michiel J. L. de Hoon , Yuko Makita , Kenta Nakai , Satoru Miyano , Diana Murray , ","<ack><p>This work was supported by the Bioinformatics Joint Project “Education and Research Organization for Genome Information Science” with support from MEXT (Ministry of Education, Culture, Sports, Science and Technology of Japan), and a Grant-in-Aid for Scientific Research on Priority Areas (C) “Genome Information Science” by MEXT (Ministry of Education, Culture, Sports, Science and Technology of Japan). YM was supported by a fellowship of the Japan Society for the Promotion of Science.</p></ack>"
PLoS_Comput_Biol_2005_Aug_12_1(3)_e26.nxml,16110343,3," Pedro Beltrao , Luis Serrano , Mark Gerstein , ","<ack><p>We are grateful to G. Cesarenni, Phil Irving, Caroline Lemerle, and Ignacio Enrique Sanchez for useful criticism and discussion. This work was partly funded by EU grant QLRT 2000–01663. PB is supported by a grant from Fundação para a Ciência e Tecnologia through the Graduate Program in Areas of Basic and Applied Biology.</p></ack>"
PLoS_Comput_Biol_2005_Aug_12_1(3)_e28.nxml,16110344,6," Subbulakshmi Latha Cherukuvada , Aswin Sai Narain Seshasayee , Krishnan Raghunathan , Sharmila Anishetty , Gautam Pennathur , Diana Murray , ","<ack><p>In appreciation of Prof. Varadachari Krishnan, JNCASR, Bangalore, India. We thank the Department of Biotechnology Government of India through the BioTechnology Information Services programme and the Department of Science and Technology (SP/SO/D-18/1999) for providing funds. One of us, SLC, thanks the Council of Scientific and Industrial Research for a studentship. We also thank the developers of GROMACS for making the software available under the GNU license. We thank the anonymous reviewers for their valuable comments and suggestions.</p></ack>"
